Country Name,Country Code,Population Density
Portugal,PRT,112.2619412
Paraguay,PRY,17.50835892
West Bank and Gaza,PSE,758.9845515
Pacific island small states,PSS,38.27674455
Post-demographic dividend,PST,35.25027213
French Polynesia,PYF,75.86857923
Qatar,QAT,239.5931955
Romania,ROU,84.60598487
Russian Federation,RUS,8.822079555
Rwanda,RWA,498.6598703
South Asia,SAS,380.2471337
Saudi Arabia,SAU,15.67665431
Senegal,SEN,82.34747832
Singapore,SGP,7952.998418
Solomon Islands,SLB,23.32468739
Sierra Leone,SLE,105.987171
El Salvador,SLV,309.8814672
San Marino,SMR,563.0833333
Somalia,SOM,23.9234769
Serbia,SRB,79.8376858
Sub-Saharan Africa (excluding high income),SSA,50.75862834
Sub-Saharan Africa,SSF,50.76208431
Small states,SST,16.22495145
Sao Tome and Principe,STP,219.8208333
Suriname,SUR,3.69225
Slovak Republic,SVK,113.2855865
Slovenia,SVN,102.9636605
Sweden,SWE,24.98149812
Eswatini,SWZ,66.05761628
Sint Maarten (Dutch part),SXM,1193.352941
Seychelles,SYC,210.3521739
Syrian Arab Republic,SYR,92.06710777
Turks and Caicos Islands,TCA,39.64736842
Chad,TCD,12.29173364
East Asia & Pacific (IDA & IBRD countries),TEA,130.185453
Europe & Central Asia (IDA & IBRD countries),TEC,19.97992233
Togo,TGO,145.0467733
Thailand,THA,135.8972068
Tajikistan,TJK,65.57271417
Turkmenistan,TKM,12.45059477
Latin America & the Caribbean (IDA & IBRD countries),TLA,31.41414444
Timor-Leste,TLS,85.27047747
Middle East & North Africa (IDA & IBRD countries),TMN,43.81292975
Tonga,TON,143.3291667
South Asia (IDA & IBRD),TSA,380.2471337
Sub-Saharan Africa (IDA & IBRD countries),TSS,50.76208431
Trinidad and Tobago,TTO,270.9274854
Tunisia,TUN,74.44132338
Turkey,TUR,106.9601289
Tuvalu,TUV,383.6
Tanzania,TZA,63.5790788
Uganda,UGA,213.0617345
Ukraine,UKR,77.02966735
Upper middle income,UMC,45.4688426
Uruguay,URY,19.70802765
United States,USA,35.71362209
Uzbekistan,UZB,77.46920545
St. Vincent and the Grenadines,VCT,282.5897436
"Venezuela, RB",VEN,32.73079191
British Virgin Islands,VGB,198.68
Virgin Islands (U.S.),VIR,305.6485714
Vietnam,VNM,308.1252459
Vanuatu,VUT,24.00984413
World,WLD,59.62537145
Samoa,WSM,69.30388693
Kosovo,XKX,168.1546799
"Yemen, Rep.",YEM,53.97785291
South Africa,ZAF,47.63011978
Zambia,ZMB,23.3414789
Zimbabwe,ZWE,37.32459093
